date,time,site,plant.species,n.flowers,Augochlorella,Ceratina,Halictus,Lasioglossum,Coleoptera,small Syrphid,Augochlora pura,Apis,Lepidoptera,Megachile,Melissodes,Bombus,wasp,total visits
2020-07-06,10:19,Taylor at Peach,Coreopsis,26,0,0,15,0,0,0,0,0,0,0,0,0,0,15
2020-07-06,16:54,Broadway,Coreopsis,7,0,0,0,4,0,0,0,0,0,0,0,0,0,4
2020-07-06,10:38,Dexter,Coreopsis,41,0,0,0,0,3,0,0,0,0,0,0,0,0,3
2020-07-06,17:27,Maryfield Rd,Coreopsis,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-08,9:30,Wagner at Baptist church,Coreopsis,34,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2020-07-09,16:53,Traver,Coreopsis,11,0,8,0,0,0,0,0,0,0,2,0,0,0,10
2020-07-11,17:48,Matthaei A5,Coreopsis,35,0,0,0,0,0,2,0,0,0,0,0,0,0,2
2020-07-13,16:59,Fuller at VA,Coreopsis,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,17:34,Nixon at Green Things,Coreopsis,8,4,0,0,0,0,0,0,0,0,0,0,0,0,4
2020-07-15,16:21,Earhart at Gross,Coreopsis,23,0,0,0,5,0,0,0,0,0,0,0,0,0,5
2020-07-15,16:55,W. liberty,Coreopsis,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,16:37,Seventh St,Coreopsis,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,16:55,Washtenaw at church,Coreopsis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,17:19,Leslie,Coreopsis,19,0,0,0,0,0,0,6,0,0,0,0,0,0,6
2020-07-13,14:20,1213 Miller Ave,Coreopsis,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,14:40,1120 Olden rd,Coreopsis,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,18:08,Jackson Ave,Coreopsis,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,16:55,E Stadium ,Coreopsis,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,9:32,Olson Park,Coreopsis,13,5,0,0,0,0,0,0,0,0,0,0,0,0,5
2020-07-06,10:19,W Huron and Eighth st,Coreopsis,24,0,0,0,0,0,0,0,0,0,0,10,0,0,10
2020-07-07,10:12,Dhu Varren at Food Gatherers,Monarda,64,0,6,0,0,0,0,0,0,0,0,0,1,0,7
2020-07-09,16:33,Plymouth at water tower,Monarda,334,0,0,0,0,0,0,0,54,0,0,0,0,0,54
2020-07-09,16:53,Traver,Monarda,120,0,17,0,0,0,0,0,0,2,0,0,0,0,19
2020-07-11,17:48,Matthaei A5,Monarda,242,0,0,0,0,0,0,0,0,0,0,0,138,0,138
2020-07-13,16:59,Fuller at VA,Monarda,306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,17:34,Nixon at Green Things,Monarda,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-15,16:21,Earhart at Gross,Monarda,412,0,0,0,0,0,0,0,62,0,0,0,0,3,65
2020-07-15,14:24,Maryfield dr,Monarda,147,0,0,0,0,0,0,0,0,0,0,0,8,0,8
2020-07-15,16:55,W. liberty,Monarda,458,0,0,0,0,0,0,0,0,0,0,0,45,0,45
2020-07-15,16:37,Seventh St,Monarda,380,0,0,0,0,0,0,0,10,0,0,0,0,0,10
2020-07-17,17:12,Washtenaw at Tuomy,Monarda,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,16:55,Washtenaw at church,Monarda,627,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-17,17:28,Oswego St,Monarda,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-18,17:25,Leslie,Monarda,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,16:35,N Maple,Monarda,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-20,16:55,Spring St,Monarda,812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-13,14:20,1213 Miller Ave,Monarda,332,0,0,0,0,0,0,0,0,0,0,0,7,0,7
2020-07-13,14:40,1120 Olden rd,Monarda,374,0,0,3,0,0,0,0,0,0,0,0,0,0,3
2020-07-13,18:08,Jackson Ave,Monarda,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,16:55,E Stadium ,Monarda,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,17:26,Platt,Monarda,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-21,16:55,Wurster Park,Monarda,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-31,16:52,CFP,Coreopsis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-08,16:35,1211 Wright St,Coreopsis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,17:00,E. Kingsley St,Coreopsis,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,16:15,Maryfield dr,Coreopsis,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
