,,,,,,Coreopsis,,,,Monarda,,,,,,,,,,,,,,
date,site,time.out,time.collected,position,updown,c.vert.pigment.added,c.vert.n.flowers,c.vert.n.high.pigment,c.vert.n.low.pigment,m.fist.n.flowers.pigment.added,m.fist.n.inflorescences.pigment.added,m.fist.n.flowers,m.fist.n.inflorescences,m.fist.n.pigment.high,m.fist.inflor.pigment.high,m.fist.n.pigment.low,m.fist.inflor.pigment.low,m.fist.inflor.pigment,notes,,,,,
7/6,Taylor at Peach,10:15,18:10,across,,29,41,4,14,,,,,,,,,,,,,,,
7/6,Dixboro at Gardenview Dr,9:30,17:20,across,,23,17,0,0,,,,,,,,,,,,,,,
7/6,Plymouth at Nixon,9:52,17:39,across,,10,22,0,2,,,,,,,,,,,,,,,
7/6,Broadway at AA Reformed Church,8:57,17:00,across,,15,5,2,2,,,,,,,,,,,,,,,
7/6,Maryfield dr,9:44,17:31,across,,20,24,1,7,,,,,,,,,,,,,,,
7/6,W. Huron St. and Eigth St.,10:03,17.39,across,,24,19,2,0,,,,,,,,,,,,,,,
7/7,North Main at FFN,9:10,17:40,across,,28,38,1,5,,,,,,,,,,,,,,,
7/7,Whitmore Lk at Stein,9:38,17:52,across,,16,7,0,1,,,,,,,,,,,,,,,
7/7,Dhu Varren at Food Gatherers,10:10,18:07,across,,37,19,0,8,95,9,74,14,10,3,22,6,6,,,,,,
7/8,Wright at Kellogg,8:49,18:06,across,,38,6,0,4,,,,,,,,,,rain; some dye washed away so could not distinguish 'high' and 'low' pollen,,,,,
7/8,Fuller Rd at Furstenburg Park,9:24,18:22,across,,17,11,0,0,,,,,,,,,,rain,,,,,
7/8,Geddes at Gallup entrance,10:05,18:27,across,,19,12,5,6,,,,,,,,,,"rain, but plant appeared sheltered",,,,,
7/9,Plymouth at water tower,8:40,16:42,across,,34,30,0,0,66,16,187,23,0,0,0,0,0,,,,,,
7/9,Traver Rd,9:19,17:02,across,,21,5,0,4,23,4,132,15,0,0,0,0,0,,,,,,
7/13,1213 Miller Ave,9:50,18:00,across,,40,21,3,5,332,30,87,14,1,1,2,2,2,,,,,,
7/13,Jackson Ave at Veteran's Park,10:30,18:08,across,,30,14,0,0,174,22,435,32,0,0,3,1,1,,,,,,
7/13,1120 1120 Olden rd,9:20,17:45,across,,26,21,0,0,374,36,362,33,1,1,11,5,5,,,,,,
7/13,Glen Ave,9:49,17:25,across,,14,14,0,0,444,45,97,9,0,0,0,0,0,,,,,,
7/13,Fuller at VA,8:49,17:08,across,,15,20,0,0,152,20,388,41,0,0,0,0,0,,,,,,
7/14,Huron Pkwy at Traverwood,8:42,17:20,across,,15,18,0,0,319,32,92,9,0,0,0,0,0,,,,,,
7/14,Nixon at Green Things,9:16,17:33,across,,15,22,0,0,209,23,410,41,0,0,3,2,2,,,,,,
7/14,E. Stadium at St. Francis Church,9:09,17:08,across,,34,25,0,0,292,22,350,34,0,0,0,0,0,,,,,,
7/14,Platt at Carleton ,10:30,17:40,across,,,,,,375,28,192,9,0,0,0,0,0,,,,,,
7/15,Earhart at Gross,8:37,16:29,across,,14,22,0,3,316,32,398,41,0,0,0,0,0,,,,,,
7/15,Huron Pkwy at E Huron R Dr,9:18,16:41,across,,14,10,0,0,402,39,110,13,0,0,0,0,0,,,,,,
7/15,Maryfield dr,8:40,16:30,across,,,,,,147,14,442,37,239,30,7,6,30,,,,,,
7/15,Seventh St. at Jefferson,9:04,16:50,across,,31,19,0,0,380,28,260,32,0,0,12,3,3,,,,,,
7/15,W. liberty at Zion Lutheran,9:35,17:10,across,,21,14,4,1,458,29,266,19,1,1,6,4,4,,,,,,
7/17,Parker Mill,8:52,16:41,across,,14,5,0,2,321,34,331,36,0,0,6,4,4,,,,,,
7/17,Matthaei path,9:21,15:01,across,,18,20,2,11,320,32,166,11,5,2,18,6,6,,,,,,
7/17,Washtenaw at Tuomy,9:35,17:20,across,,,,,,445,26,179,15,0,0,30,9,9,,,,,,
7/17,Washtenaw at church,9:09,17:06,across,,26,16,0,0,627,25,242,14,0,0,16,8,8,,,,,,
7/17,Oswego St,10:05,17:36,across,,,,,,295,24,504,42,46,10,71,21,21,,,,,,
7/20,N Maple,9:10,16:50,across,,,,,,690,42,333,20,0,0,0,0,0,,,,,,
7/20,Spring St,9:28,17:05,across,,,,,,812,29,278,18,4,1,5,3,3,,,,,,
7/20,Riverside Park,8:56,16:46,across,,22,20,0,9,,,,,,,,,,,,,,,
7/20,Fuller Park,9:22,16:58,across,,18,13,0,0,,,,,,,,,,,,,,,
7/21,Wurster Park,9:10,17:05,across,,,,,,665,28,264,18,150,18,13,4,18,,,,,,
7/21,Gallup Park,9:05,17:22,across,,14,8,0,0,,,,,,,,,,,,,,,
7/21,Arb prarie,9:30,17:31,across,,20,17,2,8,,,,,,,,,,,,,,,
7/23,Leslie Park north meadow,8:29,16:45,across,,18,15,13,2,,,,,,,,,,,,,,,
7/23,Leslie trail W of Pontiac Tr,8:57,16:56,across,,17,11,2,9,,,,,,,,,,,,,,,
7/24,Leslie SNC meadow,9:15,17:15,across,,21,9,5,4,,,,,,,,,,,,,,,
7/6,Taylor at Peach,10:15,18:10,along,upstream,29,14,10,4,,,,,,,,,,,,,,,
7/6,Dixboro at Gardenview Dr,9:30,17:20,along,upstream,23,19,0,7,,,,,,,,,,,,,,,
7/6,Plymouth at Nixon,9:52,17:39,along,downstream,10,8,0,0,,,,,,,,,,,,,,,
7/6,Broadway at AA Reformed Church,8:57,17:00,along,downstream,15,7,2,4,,,,,,,,,,,,,,,
7/6,Maryfield dr,9:44,17:31,along,downstream,20,9,6,1,,,,,,,,,,,,,,,
7/6,W. Huron St. and Eigth St.,10:03,17.39,along,upstream,24,19,1,6,,,,,,,,,,,,,,,
7/7,North Main at FFN,9:10,17:40,along,upstream,28,29,2,5,,,,,,,,,,,,,,,
7/7,Whitmore Lk at Stein,9:38,17:52,along,upstream,16,12,0,7,,,,,,,,,,,,,,,
7/7,Dhu Varren at Food Gatherers,10:10,18:07,along,upstream,37,29,2,5,95,9,196,19,9,3,76,14,14,,,,,,
7/8,Wright at Kellogg,8:49,18:06,along,downstream,38,8,0,8,,,,,,,,,,rain; some dye washed away so could not distinguish 'high' and 'low' pollen,,,,,
7/8,Fuller Rd at Furstenburg Park,9:24,18:22,along,upstream,17,10,0,0,,,,,,,,,,rain,,,,,
7/8,Geddes at Gallup entrance,10:05,18:27,along,upstream,19,10,3,7,,,,,,,,,,"rain, but plant appeared sheltered",,,,,
7/9,Plymouth at water tower,8:40,16:42,along,upstream,34,15,0,3,66,16,334,50,0,0,0,0,0,,,,,,
7/9,Traver Rd,9:19,17:02,along,upstream,21,11,4,7,23,4,120,19,0,0,47,9,9,,,,,,
7/13,1213 Miller Ave,9:50,18:00,along,upstream,40,19,3,1,332,30,39,6,18,3,0,0,3,,,,,,
7/13,Jackson Ave at Veteran's Park,10:30,18:08,along,upstream,30,22,0,0,174,22,272,20,14,3,2,1,3,,,,,,
7/13,1120 Olden rd,9:20,17:45,along,upstream,26,35,0,0,374,36,120,12,5,2,6,3,3,,,,,,
