Month,Day,Year,Survey,Transect,Scat_#,Latitude,Longitude,Habitat_type,Freshness,Diameter_1,Diameter_2,Length,Spp_ID_(field),Lab_ID,Spp_ID_(fragment analysis),Individual_ID
6,24,2008,1,A,1,3806579,345694,G,.,2.34,2.4,17.5,coyote,1,unk,1
6,24,2008,1,A,2,3806581,345694,G,.,.,.,.,unk,2,unk,.
6,24,2008,1,A,3,3806581,345694,G,.,1.47,1.35,6,NC,3,MC,.
6,24,2008,1,A,4,3806530,345694,G,.,2.33,2.2,5,MC,4,unk,.
6,24,2008,1,A,5,3806537,345692,G,.,1.83,2.05,2.9,MC,5,unk,.
6,24,2008,1,A,6,3806271,345692,G,.,0.88,0.85,3.5,NC,6,coyote,2
6,24,2008,1,A,7,3806258,345692,G,.,1.76,1.71,9,MC,7,coyote,.
6,24,2008,1,A,8,3806228,345688,G,.,2.2,2.17,4.5,MC,8,coyote,.
6,24,2008,1,A,9,3806229,345687,G,.,2.08,1.87,5.5,MC,9,coyote,.
6,24,2008,1,A,10,3805970,345682,G,.,.,.,.,unk,10,unk,.
6,24,2008,1,A,11,3805916,345685,G,.,2.69,2.18,5.4,MC,11,unk,.
6,24,2008,1,A,12,3805753,345679,G,.,1.81,1.74,6,NC,12,coyote,3
6,24,2008,1,A,13,3805755,345680,G,.,2.22,2.19,7.5,coyote,13,unk,3
6,24,2008,1,A,14,3805758,345678,G,.,2.09,2.28,5,NC,14,coyote,3
6,24,2008,1,A,15,3805764,345680,G,.,1.77,1.85,7,coyote,15,coyote,.
6,24,2008,1,A,16,3805763,345681,G,.,1.64,1.67,4,NC,16,coyote,2
6,24,2008,1,A,17,3805755,345689,G,.,1.54,1.11,2.5,unk,17,coyote,2
6,24,2008,1,A,18,3805756,345679,G,.,1.36,1.11,3,NC,18,coyote,3
6,24,2008,1,A,19,3805637,345682,G,.,1.66,1.74,2.7,unk,19,coyote,3
6,24,2008,1,A,20,3805640,345680,G,.,1.12,1.23,3,unk,20,coyote,3
6,24,2008,1,A,21,3805635,345680,G,.,1.72,1.73,2.5,unk,21,coyote,3
6,24,2008,1,A,22,3805287,345672,G,.,2.07,1.98,3.1,unk,22,coyote,.
6,24,2008,1,A,23,3805247,345671,G,.,.,.,.,unk,23,coyote,.
6,24,2008,1,A,24,3805229,345670,G,.,.,.,.,unk,24,coyote,.
6,24,2008,1,B,1,3803767,345009,G,.,.,.,.,unk,25,unk,.
6,24,2008,1,B,2,3803777,345016,G,.,1.78,1.58,4.4,NC,26,coyote,4
6,24,2008,1,B,3,3803777,345014,G,.,.,.,.,unk,27,unk,.
6,24,2008,1,B,4,3803776,345015,G,.,1.66,1.58,3.2,unk,28,coyote,4
6,24,2008,1,B,5,3803778,345016,G,.,.,.,.,unk,29,coyote,.
6,24,2008,1,B,6,3803778,345014,G,.,1.66,1.92,.,unk,30,unk,.
6,24,2008,1,B,7,3803625,344950,G,.,2,1.48,7.2,MC,31,MC,5
6,24,2008,1,B,8,3803495,344886,G,.,.,.,.,unk,32,coyote,6
6,24,2008,1,B,9,3803358,344825,G,.,1.66,1.67,4.1,NC,33,coyote,3
6,24,2008,1,B,10,3802884,344609,G,.,.,.,.,unk,34,MC,.
6,24,2008,1,B,11,3802878,344611,G,.,.,.,.,unk,35,coyote,.
6,24,2008,1,B,12,3802860,344600,G,.,.,.,.,unk,36,coyote,.
6,24,2008,1,C,1,3799141,343388,S,.,.,.,.,unk,37,coyote,.
6,24,2008,1,C,2,3799072,343410,S,.,1.94,1.83,10,coyote,38,coyote,7
6,24,2008,1,C,3,3799048,343426,S,.,.,.,.,unk,39,coyote,.
6,24,2008,1,C,4,3798888,343519,S,.,2.16,2.21,6.5,MC,40,coyote,8
6,24,2008,1,C,5,3798603,343684,S,.,1.85,1.97,19,coyote,41,coyote,7
6,26,2008,1,I,3,3803441,349941,G,3,1.92,1.77,8,coyote,42,coyote,9
6,26,2008,1,J,1,3806039,348310,G,3,1.97,2.37,8,coyote,43,coyote,1
6,27,2008,1,P,2,3788820,337227,S,3,2.01,1.8,10,coyote,44,unk,10
6,28,2008,1,S,4,3794822,323012,S,3,2.71,2.51,11,coyote,45,coyote,.
